Norm,Metric,Distance,Env,mean_episode_rewards,val_mean_episode_rewards,run
l1_norm,l1_dist,1.567819356918335,Train,10,10.0,breezy-sun-1179
l1_norm,l2_dist,5.457890510559082,Train,10,10.0,breezy-sun-1179
l2_norm,l1_dist,0.7810422778129578,Train,10,10.0,breezy-sun-1179
l2_norm,l2_dist,1.3375071287155151,Train,10,10.0,breezy-sun-1179
linf_norm,l1_dist,0.3526284098625183,Train,10,10.0,breezy-sun-1179
linf_norm,l2_dist,0.5075737237930298,Train,10,10.0,breezy-sun-1179
l1_norm,l1_dist,1.3764504194259644,Valid,10,10.0,breezy-sun-1179
l1_norm,l2_dist,1.9887583255767822,Valid,10,10.0,breezy-sun-1179
l2_norm,l1_dist,0.8740124106407166,Valid,10,10.0,breezy-sun-1179
l2_norm,l2_dist,1.2771037817001343,Valid,10,10.0,breezy-sun-1179
linf_norm,l1_dist,0.185105100274086,Valid,10,10.0,breezy-sun-1179
linf_norm,l2_dist,0.27599820494651794,Valid,10,10.0,breezy-sun-1179
l1_norm,l1_dist,1.5679125785827637,Train,10,10.0,worthy-bird-1180
l1_norm,l2_dist,5.457751750946045,Train,10,10.0,worthy-bird-1180
l2_norm,l1_dist,0.7809253931045532,Train,10,10.0,worthy-bird-1180
l2_norm,l2_dist,1.3373721837997437,Train,10,10.0,worthy-bird-1180
linf_norm,l1_dist,0.3506031632423401,Train,10,10.0,worthy-bird-1180
linf_norm,l2_dist,0.5046587586402893,Train,10,10.0,worthy-bird-1180
l1_norm,l1_dist,1.374643325805664,Valid,10,10.0,worthy-bird-1180
l1_norm,l2_dist,1.9844383001327515,Valid,10,10.0,worthy-bird-1180
l2_norm,l1_dist,0.8722767233848572,Valid,10,10.0,worthy-bird-1180
l2_norm,l2_dist,1.2743279933929443,Valid,10,10.0,worthy-bird-1180
linf_norm,l1_dist,0.1847875714302063,Valid,10,10.0,worthy-bird-1180
linf_norm,l2_dist,0.2755180895328522,Valid,10,10.0,worthy-bird-1180
l1_norm,l1_dist,1.1836886405944824,Train,10,10.0,still-morning-1181
